index,congresistas,votos,partidos,asunto,fecha
0,SAGASTI HOCHHAUSLER,LICENCIA/AUSENTE,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
1,LIZANA SANTOS,LICENCIA/AUSENTE,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
2,VÁSQUEZ CHUQUILIN,NO VOTO,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
3,LIZARRAGA HOUGHTON,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
4,ROEL ALVA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
5,LLAULLI ROMERO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
6,FERNÁNDEZ FLOREZ ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
7,LOZANO INOSTROZA,SI,"UPP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
8, ACATE CORONEL,SI,"APP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
9,LUNA MORALES —,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
